exercise_name,category,difficulty,default_sets,reps_or_duration,instructions,image_file_suggestion,trainer_review_required,review_notes
Push-Up,Chest,Beginner,3,10-15 reps,Keep your body straight and lower until your chest is near the floor.,/images/exercises/push-up.jpg,false,
Dumbbell Bench Press,Chest,Intermediate,4,8-12 reps,Press the dumbbells up from chest level and lower with control.,/images/exercises/dumbbell-bench-press.jpg,false,
Incline Dumbbell Press,Chest,Intermediate,4,8-12 reps,Press the dumbbells up on an incline bench and lower slowly.,/images/exercises/incline-dumbbell-press.jpg,false,
Decline Dumbbell Press,Chest,Intermediate,4,8-12 reps,Press the dumbbells up from a decline bench and keep your wrists stacked.,/images/exercises/decline-dumbbell-press.jpg,false,
Dumbbell Fly,Chest,Intermediate,3,10-12 reps,Open your arms wide with a soft elbow bend and bring the dumbbells back together.,/images/exercises/dumbbell-fly.jpg,false,
Smith Machine Bench Press,Chest,Intermediate,4,8-10 reps,Lower the bar to mid chest and press straight up.,/images/exercises/smith-machine-bench-press.jpg,false,
Cable Chest Fly,Chest,Intermediate,3,12-15 reps,Bring the handles together in front of your chest and return with control.,/images/exercises/cable-chest-fly.jpg,false,
Superman,Back,Beginner,3,12-15 reps,Lift your arms and legs slightly off the floor and pause briefly.,/images/exercises/superman.jpg,false,
Bird Dog,Back,Beginner,3,10 reps per side,Reach opposite arm and leg long while keeping your hips steady.,/images/exercises/bird-dog.jpg,false,
TRX Row,Back,Beginner,3,10-12 reps,Lean back with straight body alignment and pull your chest toward the handles.,/images/exercises/trx-row.jpg,false,
Dumbbell Bent-Over Row,Back,Intermediate,4,8-12 reps,Hinge at the hips and pull the dumbbells toward your lower ribs.,/images/exercises/dumbbell-bent-over-row.jpg,false,
One-Arm Dumbbell Row,Back,Intermediate,3,10 reps per side,Support one hand on a bench and row the dumbbell to your hip.,/images/exercises/one-arm-dumbbell-row.jpg,false,
EZ Bar Bent-Over Row,Back,Intermediate,4,8-12 reps,Hinge forward and pull the bar toward your upper waist.,/images/exercises/ez-bar-bent-over-row.jpg,false,
Lat Pulldown,Back,Beginner,3,10-12 reps,Pull the handle to your upper chest and keep your shoulders down.,/images/exercises/lat-pulldown.jpg,false,
Arm Circles,Shoulders,Beginner,2,30 seconds each direction,Make small controlled circles and keep your shoulders relaxed.,/images/exercises/arm-circles.jpg,false,
Pike Push-Up,Shoulders,Intermediate,3,8-10 reps,Keep your hips high and lower the top of your head toward the floor.,/images/exercises/pike-push-up.jpg,false,
Shoulder Press Machine,Shoulders,Beginner,3,10-12 reps,Press the handles overhead and return to shoulder level with control.,/images/exercises/shoulder-press-machine.jpg,false,
Dumbbell Shoulder Press,Shoulders,Intermediate,4,8-12 reps,Press the dumbbells overhead without arching your lower back.,/images/exercises/dumbbell-shoulder-press.jpg,false,
Dumbbell Lateral Raise,Shoulders,Beginner,3,12-15 reps,Raise the dumbbells to shoulder height with a soft elbow bend.,/images/exercises/dumbbell-lateral-raise.jpg,false,
Dumbbell Reverse Fly,Shoulders,Intermediate,3,12-15 reps,Hinge forward and open your arms out to the sides.,/images/exercises/dumbbell-reverse-fly.jpg,false,
Bodyweight Squat,Legs,Beginner,3,12-15 reps,Sit your hips back and stand up while keeping your chest tall.,/images/exercises/bodyweight-squat.jpg,false,
Resistance Loop Lateral Walk,Legs,Beginner,3,12 steps each way,Keep tension on the loop and step side to side with control.,/images/exercises/resistance-loop-lateral-walk.jpg,false,
Abductor Machine,Legs,Beginner,3,12-15 reps,Press the pads outward and return slowly to the start.,/images/exercises/abductor-machine.jpg,false,
Leg Press Machine,Legs,Beginner,4,10-12 reps,Drive the platform away through your heels and lower under control.,/images/exercises/leg-press-machine.jpg,false,
Smith Machine Squat,Legs,Intermediate,4,8-10 reps,Sit down into the squat and press back up through your heels.,/images/exercises/smith-machine-squat.jpg,false,
Leg Extension Machine,Legs,Beginner,3,12-15 reps,Straighten your knees fully and lower the pad slowly.,/images/exercises/leg-extension-machine.jpg,false,
Dumbbell Romanian Deadlift,Legs,Intermediate,4,8-12 reps,Hinge at the hips and keep the dumbbells close to your legs.,/images/exercises/dumbbell-romanian-deadlift.jpg,false,
Kettlebell Goblet Squat,Legs,Beginner,4,10-12 reps,Hold the kettlebell at chest height and squat with an upright torso.,/images/exercises/kettlebell-goblet-squat.jpg,false,
Barbell Back Squat,Legs,Advanced,4,6-8 reps,Brace your core and squat to a comfortable depth before driving up.,/images/exercises/barbell-back-squat.jpg,true,Coach should confirm starting load and squat depth.
Dumbbell Walking Lunge,Legs,Intermediate,3,10 steps per leg,Step forward into each lunge and keep your torso tall.,/images/exercises/dumbbell-walking-lunge.jpg,false,
Forearm Plank,Core,Beginner,3,30-45 seconds,Keep your body in a straight line and brace your midsection.,/images/exercises/forearm-plank.jpg,false,
Dead Bug,Core,Beginner,3,10 reps per side,Lower opposite arm and leg while keeping your lower back down.,/images/exercises/dead-bug.jpg,false,
Mountain Climber,Core,Beginner,3,30 seconds,Drive your knees forward one at a time with steady control.,/images/exercises/mountain-climber.jpg,false,
Russian Twist,Core,Beginner,3,16 total reps,Rotate side to side while keeping your chest lifted.,/images/exercises/russian-twist.jpg,false,
Medicine Ball Russian Twist,Core,Intermediate,3,16 total reps,Hold the ball close and rotate your shoulders side to side.,/images/exercises/medicine-ball-russian-twist.jpg,false,
BOSU Crunch,Core,Intermediate,3,15 reps,Crunch up from the BOSU and lower slowly without pulling your neck.,/images/exercises/bosu-crunch.jpg,false,
Cable Wood Chop,Core,Intermediate,3,12 reps per side,Rotate through your torso and pull the handle across your body.,/images/exercises/cable-wood-chop.jpg,false,
Treadmill Walking,Cardio,Beginner,1,15-20 minutes,Walk at a steady pace that lets you keep good posture.,/images/exercises/treadmill-walking.jpg,false,
Treadmill Intervals,Cardio,Intermediate,1,12-15 minutes,Alternate one faster minute with one easy minute.,/images/exercises/treadmill-intervals.jpg,false,
Stationary Bike,Cardio,Beginner,1,15-20 minutes,Pedal at a comfortable pace and keep your shoulders relaxed.,/images/exercises/stationary-bike.jpg,false,
Cross Trainer Steady Pace,Cardio,Beginner,1,15-20 minutes,Move at an even rhythm and keep pressure through the handles.,/images/exercises/cross-trainer-steady-pace.jpg,false,
Jump Rope,Cardio,Beginner,5,1 minute rounds,Stay light on your feet and keep the rope turns smooth.,/images/exercises/jump-rope.jpg,false,
Ladder Machine Climb,Cardio,Intermediate,1,10-15 minutes,Climb with steady steps and avoid leaning heavily on the rails.,/images/exercises/ladder-machine-climb.jpg,false,
Agility Ladder Quick Steps,Cardio,Beginner,4,20 seconds,Move your feet quickly through the ladder while staying balanced.,/images/exercises/agility-ladder-quick-steps.jpg,false,
Agility Cone Shuffle,Cardio,Beginner,4,20 seconds,Shuffle between cones with short fast steps and low hips.,/images/exercises/agility-cone-shuffle.jpg,false,
Yoga Stretching,Stretching,Beginner,1,5-10 minutes,Move slowly through easy stretches and breathe evenly.,/images/exercises/yoga-stretching.jpg,false,
Hamstring Stretch,Stretching,Beginner,2,30 seconds per side,Lengthen the back of the leg without rounding your back.,/images/exercises/hamstring-stretch.jpg,false,
